AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.487062,0.142247,3.833313,0.083435,3.749878,326.617199,0.507388,15.932230,6.885498,0.170055,0.214194,3.393860,0.087646,3.306214,145.392574,0.273408,11.520261,6.678196,0.444920,0.157265,3.579407,0.330566,3.248841,290.489249,0.471870,15.762202,6.877878,0
0.484720,0.097755,1.551270,0.330994,1.220276,90.628351,0.494468,9.474925,6.743484,0.162156,0.158227,2.591614,0.013123,2.578491,166.230647,0.226498,12.399997,6.606397,0.444425,0.125696,2.708191,0.332275,2.375916,152.723027,0.461838,10.934137,6.733027,0
0.458489,0.012051,0.483093,0.432861,0.050232,1.093323,0.458647,0.037179,6.907410,0.112506,0.014458,0.145508,0.083435,0.062073,1.084587,0.113430,0.162312,6.899521,0.354381,0.036758,0.432129,0.279358,0.152771,1.122328,0.356280,0.099853,6.902382,1
0.459645,0.011939,0.482117,0.436829,0.045288,1.160503,0.459799,0.010187,6.907418,0.112292,0.014386,0.140076,0.087097,0.052979,1.192802,0.113209,0.178657,6.899581,0.353472,0.036504,0.424866,0.291199,0.133667,1.186152,0.355350,0.135562,6.902436,1
0.459757,0.012089,0.483948,0.436768,0.047180,1.127217,0.459916,0.022922,6.907410,0.112727,0.014770,0.144592,0.088013,0.056579,1.186945,0.113690,0.156086,6.899195,0.354042,0.037685,0.424500,0.289368,0.135132,1.223735,0.356040,0.110303,6.902099,1
0.458494,0.011972,0.482788,0.435120,0.047668,1.060386,0.458650,0.070642,6.907415,0.112570,0.014173,0.140930,0.083740,0.057190,1.184331,0.113458,0.111352,6.899836,0.354434,0.036156,0.421204,0.283264,0.137940,1.191384,0.356271,0.092365,6.902558,1
0.459425,0.012004,0.483521,0.436035,0.047486,1.149763,0.459581,0.006063,6.907414,0.112508,0.014535,0.142334,0.086426,0.055908,1.136669,0.113442,0.179119,6.899440,0.353864,0.036683,0.429504,0.281982,0.147522,1.130424,0.355759,0.141230,6.902396,1
0.459782,0.012086,0.482544,0.436035,0.046509,1.171686,0.459941,0.005920,6.907410,0.112446,0.014787,0.143372,0.084656,0.058716,1.089380,0.113413,0.145332,6.899126,0.353371,0.037738,0.435303,0.282471,0.152832,1.188906,0.355378,0.123645,6.902064,1
0.458350,0.011988,0.482727,0.437561,0.045166,1.148744,0.458506,0.009440,6.907414,0.112343,0.014342,0.140808,0.086731,0.054077,1.160470,0.113254,0.129863,6.899619,0.353862,0.036741,0.423401,0.286743,0.136658,1.217353,0.355762,0.061852,6.902365,1
0.459437,0.011838,0.484009,0.435059,0.048950,1.167143,0.459590,0.015005,6.907424,0.112569,0.014609,0.142395,0.082520,0.059875,1.094465,0.113512,0.107624,6.899337,0.353767,0.037003,0.429871,0.283691,0.146180,1.181358,0.355695,0.100636,6.902292,1
0.459499,0.012128,0.482910,0.435486,0.047424,1.148831,0.459659,0.024685,6.907407,0.111633,0.014453,0.140991,0.085876,0.055115,1.187114,0.112564,0.151123,6.899395,0.351526,0.036789,0.425293,0.282532,0.142761,1.173361,0.353444,0.117219,6.902289,1
0.458010,0.012069,0.481750,0.435181,0.046569,1.126453,0.458169,0.051801,6.907409,0.111672,0.014267,0.139160,0.087158,0.052002,1.159991,0.112579,0.127865,6.899607,0.352488,0.036572,0.418884,0.287476,0.131408,1.216925,0.354378,0.084025,6.902377,1
0.458986,0.011831,0.483521,0.436768,0.046753,1.144100,0.459139,0.011126,6.907423,0.111815,0.014459,0.141174,0.082520,0.058654,1.170244,0.112745,0.129764,6.899408,0.352255,0.036386,0.420410,0.282288,0.138122,1.179375,0.354127,0.102768,6.902427,1
0.459870,0.012021,0.485291,0.436218,0.049073,1.145558,0.460027,0.018590,6.907414,0.112199,0.014677,0.141785,0.087402,0.054383,1.216252,0.113154,0.145330,6.899219,0.352663,0.037476,0.427673,0.285400,0.142273,1.188252,0.354647,0.118192,6.902119,1
0.457743,0.011861,0.480042,0.436707,0.043335,1.170621,0.457896,0.040401,6.907420,0.110980,0.014181,0.139954,0.085388,0.054566,1.167210,0.111882,0.190731,6.899626,0.350466,0.036403,0.421936,0.283447,0.138489,1.193434,0.352350,0.135845,6.902374,1
0.458482,0.011877,0.481384,0.435059,0.046325,1.153697,0.458636,0.005465,6.907420,0.111036,0.014353,0.140991,0.086853,0.054138,1.145877,0.111959,0.203304,6.899441,0.350308,0.036364,0.422241,0.286621,0.135620,1.171088,0.352189,0.141437,6.902382,1
0.459646,0.011995,0.484680,0.437500,0.047180,1.126607,0.459802,0.018191,6.907415,0.111647,0.014729,0.139954,0.083130,0.056824,1.168609,0.112614,0.091290,6.899050,0.351492,0.037347,0.423157,0.288879,0.134278,1.248308,0.353469,0.088084,6.902115,1
0.457971,0.012035,0.481628,0.436035,0.045593,1.142983,0.458129,0.054803,6.907410,0.111573,0.014248,0.139099,0.086426,0.052673,1.193405,0.112478,0.171113,6.899630,0.351884,0.036249,0.422058,0.284180,0.137878,1.180150,0.353744,0.142783,6.902464,1
0.458747,0.011854,0.482788,0.435608,0.047180,1.126173,0.458900,0.023139,6.907422,0.111440,0.014322,0.140686,0.086914,0.053772,1.207244,0.112356,0.135118,6.899513,0.351224,0.036276,0.419495,0.287048,0.132447,1.256869,0.353091,0.125816,6.902433,1
0.459597,0.011988,0.481689,0.437317,0.044372,1.187226,0.459753,0.018733,6.907415,0.111732,0.014622,0.139587,0.086731,0.052856,1.197900,0.112684,0.161694,6.899218,0.351677,0.036982,0.427429,0.285461,0.141968,1.215354,0.353614,0.116182,6.902236,1
0.458152,0.011856,0.480774,0.434753,0.046021,1.103974,0.458305,0.006617,6.907421,0.111809,0.014332,0.139587,0.086792,0.052795,1.195999,0.112723,0.125333,6.899552,0.352483,0.036984,0.423584,0.287231,0.136353,1.246147,0.354417,0.107974,6.902259,1
0.458513,0.011799,0.480652,0.434570,0.046082,1.108115,0.458665,0.011562,6.907424,0.111114,0.014460,0.137939,0.084290,0.053649,1.185612,0.112050,0.153949,6.899309,0.350429,0.036549,0.427612,0.278198,0.149414,1.149491,0.352328,0.151629,6.902332,1
0.459417,0.012026,0.482422,0.436829,0.045593,1.201732,0.459574,0.006108,6.907413,0.110751,0.014706,0.142212,0.081787,0.060425,1.109547,0.111723,0.169665,6.898966,0.349224,0.037529,0.427917,0.276001,0.151916,1.182511,0.351233,0.133662,6.901994,1
0.457582,0.012031,0.483643,0.436462,0.047181,1.174153,0.457740,0.037116,6.907410,0.110593,0.014342,0.139038,0.084961,0.054077,1.173254,0.111519,0.141324,6.899364,0.349809,0.036684,0.416382,0.280334,0.136048,1.236728,0.351726,0.100875,6.902264,1
0.458353,0.011880,0.483398,0.435547,0.047851,1.114405,0.458507,0.074093,6.907420,0.110711,0.014068,0.138794,0.085815,0.052979,1.181322,0.111600,0.176599,6.899712,0.349558,0.035795,0.423401,0.287231,0.136170,1.232862,0.351384,0.138263,6.902526,1
0.459386,0.012098,0.481750,0.437134,0.044616,1.170678,0.459546,0.005149,6.907409,0.110887,0.014695,0.139709,0.084045,0.055664,1.215592,0.111856,0.155746,6.898998,0.349826,0.037120,0.420044,0.284241,0.135803,1.215495,0.351788,0.153516,6.902143,1
0.457840,0.012067,0.481812,0.435974,0.045838,1.152414,0.457999,0.035340,6.907408,0.111161,0.014332,0.139832,0.084106,0.055726,1.102519,0.112080,0.175876,6.899472,0.351005,0.036618,0.420349,0.284485,0.135864,1.155921,0.352908,0.104075,6.902321,1
0.458572,0.011740,0.482544,0.436279,0.046265,1.109562,0.458722,0.016107,6.907428,0.111250,0.014337,0.140747,0.085571,0.055176,1.176951,0.112169,0.144618,6.899469,0.350588,0.036487,0.418091,0.281738,0.136353,1.196489,0.352480,0.094042,6.902345,1
0.459347,0.012019,0.482727,0.437622,0.045105,1.157585,0.459504,0.037934,6.907413,0.110977,0.014703,0.138306,0.086182,0.052124,1.237309,0.111946,0.129436,6.898993,0.349635,0.037250,0.419250,0.281372,0.137878,1.234879,0.351611,0.113815,6.902090,1
0.457803,0.012012,0.480957,0.435364,0.045593,1.168296,0.457960,0.039486,6.907411,0.110816,0.014217,0.141113,0.084595,0.056518,1.204340,0.111723,0.152293,6.899548,0.350048,0.035964,0.422607,0.288696,0.133911,1.207914,0.351889,0.148344,6.902493,1
0.458226,0.011686,0.481567,0.435181,0.046386,1.117944,0.458375,0.035366,6.907430,0.110466,0.014103,0.138245,0.086609,0.051636,1.176138,0.111362,0.146592,6.899625,0.349245,0.036441,0.420837,0.281189,0.139648,1.225626,0.351139,0.129197,6.902324,1
0.459302,0.011966,0.481567,0.436035,0.045532,1.153017,0.459457,0.022840,6.907416,0.110911,0.014695,0.138672,0.085083,0.053589,1.240219,0.111879,0.143299,6.898997,0.349724,0.037311,0.418762,0.280334,0.138428,1.255269,0.351706,0.111980,6.902074,1
0.457729,0.012129,0.480225,0.436096,0.044129,1.147273,0.457890,0.069784,6.907405,0.110840,0.014350,0.137939,0.084961,0.052978,1.188353,0.111764,0.135898,6.899390,0.350044,0.035929,0.422180,0.288147,0.134033,1.212413,0.351882,0.143550,6.902502,1
0.458224,0.011773,0.483887,0.435486,0.048401,1.081055,0.458375,0.058435,6.907426,0.110079,0.014021,0.137390,0.082214,0.055176,1.187747,0.110967,0.110055,6.899650,0.348140,0.036468,0.425842,0.275757,0.150085,1.170182,0.350042,0.103273,6.902276,1
0.459104,0.011959,0.482056,0.437500,0.044556,1.149494,0.459259,0.055147,6.907416,0.110503,0.014873,0.140869,0.084656,0.056213,1.199226,0.111499,0.133047,6.898712,0.348687,0.037789,0.416138,0.276001,0.140137,1.268972,0.350727,0.091761,6.901888,1
0.457486,0.011966,0.482666,0.434387,0.048279,1.058640,0.457642,0.095196,6.907414,0.110474,0.014169,0.139648,0.085571,0.054077,1.138121,0.111378,0.163232,6.899555,0.349228,0.036345,0.434692,0.282654,0.152038,1.160803,0.351112,0.176155,6.902361,1
0.458615,0.011968,0.482910,0.435242,0.047668,1.180704,0.458771,0.007218,6.907415,0.110777,0.014530,0.138306,0.081787,0.056519,1.122537,0.111725,0.118916,6.899161,0.349394,0.036427,0.415894,0.277405,0.138489,1.184017,0.351286,0.074215,6.902322,1
0.459144,0.012031,0.482727,0.434692,0.048035,1.121487,0.459301,0.021250,6.907412,0.110689,0.014823,0.140991,0.083984,0.057007,1.142178,0.111676,0.149415,6.898808,0.349033,0.037758,0.419495,0.282532,0.136963,1.229730,0.351067,0.113311,6.901914,1
0.457396,0.012086,0.481873,0.432190,0.049683,1.175414,0.457556,0.035548,6.907407,0.110281,0.014236,0.140381,0.083313,0.057068,1.014985,0.111196,0.197184,6.899458,0.348872,0.036697,0.428162,0.281555,0.146607,1.140559,0.350795,0.133934,6.902236,1
